,id,name,country,country_code,abbreviation,week,Year
326,sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT,16,2025
327,sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY,RON,16,2025
328,sr:competitor:83397,"Ofner, Sebastian",Austria,AUT,OFN,16,2025
329,sr:competitor:14508,"Mahut, Nicolas",France,FRA,MAH,16,2025
330,sr:competitor:458575,"Agostini, Simone",Italy,ITA,AGO,16,2025
331,sr:competitor:138712,"Oradini, Giovanni",Italy,ITA,ORA,16,2025
332,sr:competitor:303808,"Nijboer, Ryan",Netherlands,NLD,NIJ,16,2025
333,sr:competitor:17359,"Oswald, Philipp",Austria,AUT,OSW,16,2025
334,sr:competitor:286367,"Krutykh, Oleksii",Ukraine,UKR,KRU,16,2025
335,sr:competitor:976405,"Taguchi, Ryotaro",Japan,JPN,TAG,16,2025
336,sr:competitor:457059,"Montes-de la Torre, Inaki",Spain,ESP,MON,16,2025
